Designator,Footprint,Quantity,Value,LCSC Part #
LED4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED9,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED12,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED13,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED14,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
LED15,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,C,
